Token;Repeticiones;# de archivos
acelerada;2;2
acenet;3;3
aceptado;2;1
aceptados;2;2
acer;2;2
acerbi;3;2
acex;2;2
acf;6;4
achievable;5;2
achieve;36;31
achieved;14;12
achievement;40;14
achievements;7;6
achieving;11;9
achilles;9;8
acid;6;4
acids;3;2
acim;2;2
ackerman;6;6
acknowledge;3;3
acknowledged;4;4
acknowledging;3;2
acknowledgments;2;1
aclib;2;2
aclu;11;4
acm;5;5
acn;5;4
acnet;4;3
acns;16;5
acog;2;2
acom;6;6
acomp;3;3
acompa;2;2
acord;2;2
acordado;5;2
acorns;2;1
acpub;3;3
acq;5;5
acqic;2;2
acquion;3;3
acquire;6;5
acquired;33;21
acquiring;5;5
acquisition;16;13
acquisitions;4;4
acreedores;6;2
acres;2;2
acronet;2;2
across;35;24
acrs;13;5
acs;76;6
acsd;3;3
acselekedetet;2;1
acslab;4;4
acsnet;3;3
acsu;6;6
act;290;72
actc;3;3
actcom;14;5
acted;9;4
actein;4;4
acting;24;16
action;156;55
actions;99;46
activated;9;4
activation;20;3
active;47;22
actively;6;5
actividad;8;7
actividades;24;8
activision;3;3
activism;2;2
activist;2;1
activists;18;11
activities;121;72
activity;100;63
activo;24;6
activos;36;7
acton;2;2
actor;11;4
actors;6;4
actress;4;4
actrix;4;4
actrn;2;2
acts;48;23
actual;55;39
actuality;2;2
actualization;2;2
actually;38;28
actualmente;5;3
actuator;4;1
acu;150;41
acuerdo;28;7
acuerdos;8;4
acumulada;3;2
acumulado;5;4
acumulados;3;3
acupuncture;9;9
acuson;3;3
acute;17;14
acw;4;4
acxiom;3;3
aczel;3;3
aczeli;2;1
ad;90;43
ada;14;4
adam;23;17
adams;23;17
adapt;3;3
adaptalasaban;2;1
adaptation;6;6
adaptations;6;3
adaptec;2;2
adapted;3;3
adaptive;2;2
adasa;2;2
adat;3;2
adatai;9;6
adataink;2;2
adatok;16;13
adatokat;10;10
adatokban;2;1
adatokkal;3;3
adatot;2;2
adattar;4;1
adatvedelmi;3;2
adc;2;2
adcom;3;3
add;39;22
addabbo;14;14
addams;2;1
added;60;34
addicted;5;2
addiction;12;3
addictions;2;2
addictive;3;2
addig;42;27
addigra;2;2
adding;27;21
addis;8;2
addition;73;48
additional;62;38
additionally;5;5
additions;2;2
additive;3;1
additives;10;4
addr;85;6
address;74;51
addressed;18;15
addresses;37;24
addressing;16;14
adds;13;8
ade;6;5
adea;17;2
adelaide;10;6
adelphi;2;2
adem;31;23
ademokracia;2;1
ademokratikus;5;4
adept;6;4
adequacy;4;4
adequate;16;15
adequately;9;7
adfa;7;4
adhere;3;3
adherente;2;1
adherents;2;2
adhering;2;2
adhesiveness;2;1
adi;4;3
adicional;4;3
adicionales;7;5
adicionalmente;16;6
adicon;2;2
adinet;4;4
adj;2;2
adja;18;14
adjacent;4;4
adjak;14;10
adjanak;6;3
adjatok;2;2
adjon;6;6
adjudication;7;3
adjuk;3;3
adjunk;3;3
adjunta;2;2
adjust;11;10
adjusted;3;3
adjusting;3;2
adjustment;13;10
adl;2;2
adler;3;3
adm;32;6
admin;60;9
administer;3;3
administered;28;8
administers;2;1
administraci;8;6
administration;217;76
administrations;11;7
administrative;61;23
administrator;13;13
administrators;11;7
adminisztracio;4;4
adminsitration;2;1
admission;19;9
admissions;8;6
admit;7;4
admits;2;1
admitted;25;17
admitting;2;2
admu;8;4
adna;3;3
adnak;13;10
adnc;5;5
adnetsol;4;4
adni;27;18
ado;29;20
adobe;5;5
adocsalas;3;3
adodnak;2;2
adodoan;2;2
adoeloleg;2;1
adofizetok;5;5
adojabol;3;2
adok;6;4
adokat;4;3
adokoteles;2;2
adokulcs;2;2
adolescence;2;2
adolescent;11;6
adolescents;5;4
adolf;6;5
adolph;7;4
adon;2;2
adopres;3;3
adopt;8;8
adopted;19;14
adoptees;2;1
adopting;3;3
adoption;20;12
adoreform;2;1
adorendszer;2;2
ados;4;3
adoskonszolidaciot;3;3
adossag;18;12
adossaga;7;5
adossagallomany;4;3
adossagallomanya;2;2
adossagallomanyt;2;2
adossaganak;3;3
adossagat;6;6
adossagbol;2;2
adossagcsapda;2;2
adossagcsokkentest;2;2
adossagelengedes;2;2
adossaggal;3;3
adossagok;2;1
adossagot;6;5
adossagszolgalat;5;3
adossagunk;2;2
adot;9;8
adotanacsado;2;1
adoterhek;2;2
adott;70;33
adozas;2;2
adozok;4;2
adozott;3;1
adp;11;5
adpc;3;3
adquiri;11;4
adquiridas;3;2
adquirido;2;2
adquisici;16;7
adr;2;2
adra;3;3
adress;3;1
adrian;4;4
adrienne;2;1
ads;9;8
adscapes;4;2
adsnet;10;5
adta;23;15
adtak;24;17
adtran;3;3
adtunk;6;4
adult;51;17
adultery;3;3
adulthood;4;3
adults;47;17
adunk;3;3
adva;4;3
advalue;2;2
advance;24;19
advanced;42;32
advancement;9;7
advancements;2;2
advances;14;13
advancing;6;6
advantage;40;32
advantageous;5;4
advantages;64;33
advantis;5;4
advection;2;1
advent;22;19
adventure;14;4
adventures;13;8
adventurous;2;2
adversarial;2;2
adverse;7;6
adversely;2;2
adversos;2;1
advertisement;5;3
advertisements;13;10
advertisers;2;2
advertising;53;19
advice;37;17
advisability;3;3
advisable;3;3
advise;6;6
advised;5;4
adviser;14;9
advisers;11;4
advises;5;3
advising;5;5
advisor;10;9
advisors;4;4
advisory;13;7
advn;2;2
advocacy;21;16
advocate;4;4
advocated;2;2
advocates;16;12
advtech;2;2
advtel;2;2
ady;5;2
adyliget;2;1
ae;27;6
aec;2;2
aecd;4;4
aecl;15;5
aecom;3;3
aed;2;2
aei;4;4
aeneas;4;3
aeneid;10;5
aerial;4;4
aero;13;5
aeronautics;8;6
aerospace;8;6
aes;4;3
aeschylus;4;3
aesop;28;4
aesthetic;9;7
aesthetics;3;3
aetc;5;4
aetn;2;2
af;213;8
afa;2;2
afb;3;2
afce;2;2
afeketegazdasag;3;2
afent;3;3
affair;6;5
affairs;61;38
affect;63;42
affected;39;32
affecting;30;24
affects;36;28
affele;3;3
affidavit;3;3
affiliated;2;2
affiliates;3;2
affiliation;4;4
affirm;6;3
affirmance;2;1
affirmative;18;9
affirmed;6;4
affirming;2;1
affixed;2;2
afflicted;2;2
affliction;3;2
affluence;3;3
afford;8;6
affordable;19;7
afforded;4;4
affrc;4;2
affymax;2;2
affymetrix;2;2
afghanistan;11;5
afidesz;2;2
afigyelmet;2;2
afit;4;4
afl;5;2
afn;537;97
afovarosi;2;2
afp;28;18
afraid;7;5
africa;61;31
african;59;21
afrikai;2;2
afro;6;3
afsc;3;3
aftenposten;5;5
after;357;130
afterlife;4;1
aftermath;15;11
afternet;2;2
afternoon;6;6
aftonbladet;2;2
afuera;4;2
ag;44;12
agadm;3;3
again;41;30
against;328;114
agalszecsy;2;1
agamemnon;5;2
agapova;2;2
agar;3;1
agate;5;5
agazat;3;3
agazdasagi;2;1
agcs;3;3
age;210;61
agec;2;2
agecon;2;2
aged;13;6
agee;2;2
agen;4;3
agencies;99;48
agency;143;56
agenda;15;10
agent;66;27
agents;71;20
ager;2;2
ages;25;19
agforbes;2;2
agg;2;2
aggalyosnak;3;3
aggasztja;2;1
aggodalmat;2;2
aggodalmuknak;2;2
aggodik;2;2
aggodva;2;2
aggravated;19;4
aggregates;2;2
aggression;6;4
aggressive;6;5
aggressor;2;2
agh;3;3
aghekat;2;2
aging;14;8
agis;2;2
agn;3;3
agnes;15;9
ago;28;24
agonet;3;3
agonistes;3;3
agora;2;2
agosto;5;3
agoston;2;1
agotar;2;2
agr;14;7
agrarian;11;8
agree;27;18
agreed;40;29
agreeing;2;2
agreement;116;53
agreements;40;26
agrees;14;11
agregado;4;3
agresivo;2;2
agressziv;5;5
agric;3;3
agricultural;32;21
agriculture;27;18
agroil;7;2
agron;3;2
agronomy;2;2
agroqu;2;2
agry;2;2
ags;2;2
agsci;3;3
agsm;8;5
agt;15;5
agua;18;6
aguada;3;3
aguarag;6;5
agy;8;5
agyak;4;3
agyar;3;3
agyat;4;3
agyed;2;2
agyszamcsokkentes;2;2
agyukba;2;2
ah;3;3
ahab;3;1
ahazai;2;2
ahazugsag;2;1
ahead;10;9
ahec;4;4
ahelyett;4;3
ahelyzet;3;2
ahezbollah;2;2
ahh;2;2
ahhoz;41;30
ahitott;3;3
ahogy;62;27
ahogyan;25;16
ahol;106;37
ahonfoglalas;2;2
ahonnan;6;5
ahora;4;4
ahorn;2;2
ahorro;2;2
ahorros;2;2
ahova;5;5
ahoynet;5;5
ahs;10;5
ahsc;11;2
ahythmic;2;2
ai;15;9
aiaa;2;1
aici;4;4
aid;74;47
aide;8;5
aided;6;4
aides;20;9
aiding;9;3
aids;73;23
aig;4;4
aii;2;2
aikane;2;1
aiken;4;4
aikido;5;1
aikikai;3;1
ail;2;2
ailing;2;1
ailments;4;4
aim;28;20
aimed;25;21
aimetering;4;4
aiming;2;2
aimnet;5;5
aimonson;2;2
aims;11;9
ainet;5;5
aip;7;5
air;155;47
airborne;11;8
aircraft;21;13
airdata;2;2
aires;14;6
airfare;4;4
airfield;2;1
airlift;2;2
airline;30;6
airlines;49;10
airliquide;2;2
airnet;3;3
airpcs;2;2
airplane;2;2
airport;51;8
airports;5;3
airsar;23;6
airshow;5;4
airtime;2;2
airtouch;9;6
airways;10;3
ais;13;5
aiss;2;2
ait;3;3
aitec;2;2
aix;9;6
aixdialin;5;5
aizu;3;3
ajandekba;3;1
ajanlas;4;2
ajanlasa;2;1
ajanlataim;2;1
ajanlatot;3;3
ajanlott;8;8
ajanlottak;2;2
ajelenlegi;5;5
ajovo;3;3
ajovoben;2;2
ajuste;4;4
ajustes;3;2
ak;34;8
akabinet;2;2
akad;8;4
akadalya;4;4
akadalyokat;2;2
akadalyozni;3;3
akadalyozza;4;2
akadalyozzak;3;3
akadalyt;2;2
akadar;2;2
akademia;4;3
akademiai;7;4
akademikus;2;2
akadnak;2;2
akadt;5;5
akaka;12;12
akar;92;36
akarat;3;3
akaratlanul;2;2
akarcsak;4;3
akarj;3;1
akarja;39;22
akarjak;20;13
akarjuk;4;4
akarmilyen;2;2
akarmit;3;3
akarna;4;3
akarnak;25;19
akaro;9;8
akarodzik;2;2
akarok;8;5
akarom;10;9
akart;6;6
akarta;10;8
akartak;10;8
akartam;5;3
akarunk;13;11
akarva;2;2
akcio;8;7
akcioban;2;2
akcioja;2;2
akciojukhoz;2;1
akciok;7;5
akciokat;5;4
akciokban;3;2
akciot;7;7
akdnp;3;3
akelet;2;1
akepviselo;2;2
aket;2;2
aki;284;43
akik;213;41
akikert;3;2
akiket;17;13
akikkel;2;2
akiknek;22;14
akikrol;2;2
akin;3;3
akinek;28;22
akirol;2;2
akis;2;1
akisantant;2;2
akisgazdak;3;3
akit;20;13
akitol;2;2
akivel;2;2
akkor;316;38
akkora;7;7
akkori;16;10
akkoriban;2;2
akkoris;5;4
akkreditalt;3;1
akkuratus;2;1
aknamunka;2;1
akoltsegvetes;5;5
akoltsegvetesi;4;4
akommunista;3;3
akormany;8;6
akormanyfo;4;4
akormanyzat;4;4
akormanyzati;2;2
akozep;2;2
akozponti;2;2
akron;3;3
aksi;5;5
aktiv;5;4
aktivistak;2;1
aktualis;5;3
akulfoldiek;2;1
akulkereskedelmi;2;2
akulonbozo;2;2
al;295;56
ala;74;34
alabama;34;34
alabb;7;4
alabbi;32;19
alacsony;18;14
alacsonyabb;9;8
alacsonyabbinflacios;2;1
alacsonyrendu;2;1
aladdin;6;5
aladdinsys;2;2
alahuzta;3;3
alahuzza;2;2
alaina;2;2
alairas;28;25
alairasa;6;3
alairasara;3;3
alairasat;2;2
alairasaval;2;2
alairasgyujtest;2;2
alairasi;3;3
alairni;5;4
alairt;12;10
alairta;4;3
alairtak;2;2
alajos;2;2
alakit;2;2
alakitanak;2;2
alakitani;5;4
alakitja;2;2
alakitott;2;2
alakja;2;2
alakossag;8;6
alakul;15;9
alakulasa;4;4
alakulatok;2;2
alakulhat;3;2
alakuljon;7;7
alakulnak;6;5
alakulo;2;2
alakult;19;16
alakultak;4;4
alamance;2;2
alami;2;1
alamosa;4;4
alamuszi;2;2
alan;10;7
alanyuk;2;1
alap;25;13
alapellatas;2;1
alapitani;3;3
alapitasanak;2;2
alapito;2;2
alapitoi;3;3
alapitok;3;3
alapitott;5;4
alapitvany;28;17
alapitvanyi;2;2
alapitvanyok;2;2
alapj;8;3
alapja;12;10
alapjaban;2;2
alapjai;2;2
alapjait;2;2
alapjan;89;31
alapjat;2;2
alapjaul;2;2
alapjogot;3;3
alapnak;2;2
alapok;7;6
alapokmanyaban;3;1
alapokmanyaval;2;1
alapokon;4;4
alapon;15;13
alapos;7;5
alaposan;8;6
alapot;3;3
alapozott;7;5
alapozzak;2;2
alapszabaly;2;2
alapszabalya;2;2
alapszabalynak;2;2
alapszerz;4;2
alapszerzodes;29;9
alapszerzodesekkel;2;1
alapszerzodeshez;2;2
alapszerzodest;6;4
alaptalan;5;5
alapterulet;2;2
alapterulete;2;2
alaptorveny;4;4
alapu;5;4
alapul;4;4
alapulo;9;8
alapvet;4;2
alapveto;28;19
alapvetoen;20;13
alarendeltsegeben;2;2
alarm;2;2
alascom;5;5
alaska;64;41
alaskan;3;3
alatt;164;40
alatta;6;5
alatti;13;11
alaztak;2;2
alb;7;5
alban;2;2
albania;16;5
albanian;8;6
albanians;4;4
albany;41;9
albedo;4;2
albee;2;1
albeit;2;2
albert;23;17
albertet;2;2
alberti;2;1
albina;2;1
albion;3;3
albosta;6;6
albright;9;2
albums;2;1
albury;5;4
alcance;2;2
alcanz;4;3
alcanza;2;2
alcanzado;4;2
alcanzando;4;2
alcanzar;2;2
alcatel;22;6
alcibiades;2;1
alcoa;10;5
alcohol;50;14
alcoholic;12;5
alcoholics;4;2
alcoholism;27;3
alcott;2;2
ald;2;2
aldo;2;1
aldott;2;2
aldous;7;3
aldozat;7;5
aldozata;3;3
aldozatainak;4;4
aldozatban;2;1
aldozatok;12;6
aldozatokat;2;2
aldozatot;6;6
aldoztato;3;1
alegfontosabb;2;2
alegjobban;2;2
alegnagyobb;4;4
aleksander;6;5
aleksandr;50;18
alekszandr;3;3
alekszij;7;6
aleln;2;2
alelnok;18;11
alelnoke;34;21
alelnokenek;2;1
alelnoket;4;4
alelnokevel;2;2
alelnoki;2;2
alelnokot;3;3
alenia;3;3
alenyeg;3;3
alert;23;12
alerting;2;2
alerts;7;4
aletminimum;4;3
aleutian;2;1
alex;5;4
alexander;34;28
alexandria;2;2
alexia;2;2
alferyev;3;2
alfoldi;4;3
alfred;26;19
algeria;12;4
algerian;3;3
algonet;5;5
algorithm;8;3
algorithms;24;10
alguna;3;2
algunas;2;2
alguno;6;6
algunos;5;3
ali;13;6
aliberalis;2;2
alice;6;4
alien;18;4
alienation;28;14
aliens;26;9
alig;27;18
aligha;17;12
alighanem;8;8
align;2;2
aligned;3;3
alike;3;3
alinc;5;5
alisa;2;2
alistolmar;2;1
alitalia;3;3
alive;12;10
aliza;2;2
aljan;2;2
aljas;11;7
alkalmabol;11;7
alkalmas;19;12
alkalmasabb;2;2
alkalmasak;2;2
alkalmat;8;7
alkalmatlan;6;5
alkalmaval;3;2
alkalmaz;4;4
alkalmazasa;5;4
alkalmazasabol;2;1
alkalmazasara;2;1
alkalmazasaval;2;2
alkalmazhato;2;2
alkalmazni;4;4
alkalmazott;10;9
alkalmazottaik;2;2
alkalmazta;2;2
alkalmaztak;2;2
alkalmazzak;6;3
alkalom;2;2
alkalommal;12;10
alkoholista;2;2
alkot;2;2
alkotm;10;2
alkotmany;29;18
alkotmanya;3;3
alkotmanyba;4;4
alkotmanyban;4;3
alkotmanybirak;2;2
alkotmanybiroi;2;1
alkotmanybirosag;21;12
alkotmanybirosaghoz;5;5
alkotmanybirosagi;3;3
alkotmanybirosagok;2;2
alkotmanyellenes;10;7
alkotmanyellenesnek;2;2
alkotmanyelokeszito;2;2
alkotmanyjogasz;3;3
alkotmanykoncepcio;16;4
alkotmanykoncepcioban;2;1
alkotmanykoncepciot;3;3
alkotmanynak;2;1
alkotmanyos;14;9
alkotmanyosan;3;3
alkotmanyossagot;2;2
alkotmanyozasra;2;1
alkotmanyozni;2;2
alkotmanyozo;2;2
alkotmanysertes;3;3
alkotmanyserto;3;3
alkotmanyt;3;3
alkotmanyugyi;6;5
alkoto;5;4
alkotott;8;5
alkotta;3;2
alkottak;3;3
alkymi;2;2
all;923;274
allam;65;22
allama;3;3
allamadossag;7;6
allamelnok;2;1
allamferfi;2;2
allamfo;18;12
allamfoghazra;2;1
allamforma;2;2
allamhaztartas;9;7
allamhaztartasi;11;9
allami;116;32
allamigazgatas;3;2
allamigazgatasi;3;3
allamnak;11;8
allamok;21;15
allamokat;2;2
allamokban;19;6
allamokbeli;2;2
allamokkal;3;1
allamokkozotti;2;1
allampolgar;16;13
allampolgara;2;1
allampolgarai;3;2
allampolgari;12;7
allampolgariengedetlensegnek;2;1
allampolgarnak;2;2
allampolgarok;13;8
allampolgarokat;3;3
allamtitkar;30;18
allamtitkara;24;17
allamtitkarat;2;2
allamtitkari;2;2
allamtitkarnak;3;3
allamtitkart;2;2
allamtol;2;2
allamvedelmi;2;1
allan;4;3
allando;14;11
allandoan;9;7
allandosult;2;2
allapit;2;2
allapithato;2;2
allapitja;3;3
allapitotta;8;5
allapitottak;3;3
allapodott;4;3
allapodtak;3;3
allapot;9;9
allapota;3;3
allapotaba;3;2
allapotabol;3;2
allapotarol;4;2
allapotban;3;3
allapotok;2;2
allapotokat;3;3
allas;5;3
allasai;2;2
allasfoglalasaban;2;2
allasfoglalasat;3;3
allashely;2;2
allaspont;7;6
allaspontja;9;7
allaspontjarol;2;2
allaspontjat;6;6
allaspontjukrol;2;1
allaspontok;2;1
allaspontot;8;7
allast;19;13
allat;9;6
allategeszsegugyi;8;3
allatok;7;4
allatorvosi;2;2
allbiz;2;2
alleg;5;5
allegations;20;13
allege;3;2
alleged;19;15
allegedly;11;10
alleghenypower;3;3
allegiance;4;4
alleging;5;3
allegory;7;4
allen;27;21
allergan;2;2
allergies;2;1
allergy;2;1
alleviate;10;10
alleviating;3;3
allgemeine;2;2
alliance;63;39
alliances;5;4
alliberalis;7;5
allied;19;11
alliedsignal;5;5
allies;5;5
allina;2;2
allison;2;2
allit;6;5
allitanak;3;3
allitani;11;5
allitas;4;3
allitasa;2;1
allitasait;2;2
allitasat;3;2
allitasokat;3;2
allitast;3;3
allithatja;2;1
allitja;23;13
allitjak;9;8
allitolag;23;15
allitolagos;7;6
allitott;5;5
allitotta;19;14
allitottak;6;5
allitsak;3;3
allj;2;2
alljon;4;4
allna;3;3
allnak;9;8
allni;10;8
allo;43;23
allocation;7;7
allok;2;2
allomas;2;1
allonak;3;2
allott;3;3
allotted;2;1
allow;67;42
allowances;2;2
allowed;53;35
allowing;31;24
allows;43;21
allt;20;17
alltelga;5;5
allunk;10;10
alluring;2;2
allva;4;3
allware;4;4
ally;4;4
alma;18;9
almac;3;3
almacenamiento;6;5
almaden;5;5
almodik;5;5
almodozas;2;2
almond;5;2
almost;39;34
aloha;19;6
alol;14;10
alom;2;2
alone;23;21
along;75;50
alongside;6;5
alpcom;7;5
alpes;2;2
alpha;7;7
alphabet;4;3
alphatx;2;2
alpine;11;3
alpinet;3;3
alpirez;2;1
alps;3;3
alquileres;2;2
alr;3;3
already;58;42
alroy;3;3
als;3;2
also;660;185
alsohaza;2;2
alsys;2;2
alta;8;6
altabates;2;2
altabornagy;2;2
altair;3;3
altal;156;37
altala;23;14
altalaban;30;19
altalad;3;1
altalam;5;3
altalanos;41;23
altali;2;2
altaluk;13;8
altalunk;2;2
altamente;4;3
alter;351;12
altera;3;3
alterdial;3;3
altered;8;6
altering;8;6
alterity;2;2
alternativ;6;5
alternativa;4;4
alternativaja;2;2
alternativat;3;2
alternative;75;46
alternatively;5;5
alternatives;37;27
although;107;54
altiszt;2;1
altitude;7;5
altitudes;2;2
alto;8;4
alton;4;2
altres;2;1
alu;3;2
alul;2;2
alulinak;2;1
aluljarok;2;2
alumni;10;6
alv;2;1
alvernia;3;3
always;48;33
alyakina;15;4
alyaksandr;6;6
alyosha;2;1
alzheimer;5;3
am;140;57
ama;6;5
amadeus;2;1
amado;3;1
amagyar;21;13
amagyarok;3;3
amagyarorszag;2;2
amagyarorszagi;4;4
amagyars;2;1
amagyarsag;5;3
amai;3;3
aman;3;3
amaranth;3;3
amat;5;5
amato;8;8
amauri;2;2
amaz;2;2
amazing;3;2
ambassador;7;6
ambassadors;3;2
ambience;2;1
ambiental;4;4
ambientales;4;4
ambiente;9;4
ambiguities;2;2
ambiguity;5;5
ambiguous;2;2
ambition;3;2
ambitions;7;6
ambitious;2;2
ambivalent;4;4
ambro;5;5
ambulance;4;4
ambulatory;2;2
amc;3;3
amcham;2;2
amd;6;6
amdahl;5;5
amde;8;6
ame;5;4
ameddig;2;2
ameh;3;2
amekkora;2;2
amellett;2;1
amellyel;13;11
amely;255;41
amelyben;28;18
amelybol;4;4
amelyek;96;36
amelyekben;7;6
amelyeken;3;3
amelyeket;17;14
amelyekkel;4;4
amelyeknek;2;2
amelyen;13;11
amelyet;61;28
amelyhez;3;3
amelyik;24;18
amelyikben;2;1
amelyiknek;2;2
amelynek;54;30
amelyre;8;7
amelyrol;6;4
amelyszerint;2;2
amelytol;2;2
amen;3;2
amend;4;4
amended;5;3
amendment;181;28
amendments;13;11
amennyiben;28;17
amennyire;3;2
amennyit;5;5
amennyivel;2;2
america;221;72
american;639;144
americanization;2;2
americans;44;26
americas;7;3
americorps;4;2
amerik;6;2
amerika;8;6
amerikaban;11;7
amerikabol;2;2
amerikai;135;34
amerikaiak;11;7
amerikaiakkal;3;2
amerikaiaknak;4;3
amerikaikormany;2;1
ameritech;7;6
ameritel;16;5
amersekelt;3;3
amersfoort;2;2
ames;3;3
ameslab;3;2
amgen;5;5
amh;2;2
amharic;5;1
amherst;13;6
ami;177;44
amiatt;3;2
amibe;2;2
amiben;6;5
amibol;6;6
amid;6;6
amidst;3;3
amiert;13;11
amig;40;23
amihez;3;3
amiket;4;4
amikor;209;42
amilyen;5;4
amindenkori;2;2
aminek;11;8
aminiszterelnok;4;4
aminiszterelnoki;2;2
amino;2;1
amint;11;10
amiota;4;3
amip;31;4
amire;13;11
amirol;9;8
amit;138;42
amivel;12;10
ammerman;2;2
ammonia;4;2
amnesty;25;6
amoco;26;10
amolyan;4;4
amonetaris;3;1
among;142;85
amongst;2;2
amortizaciones;8;2
amostani;3;3
amosz;8;3
amount;113;39
amounted;2;1
amounts;18;16
amours;9;9
amp;97;42
ampli;2;2
ampliamente;2;1
amputated;2;2
amputee;2;2
amputees;2;2
ams;4;3
amsinc;2;2
amsterdam;7;6
amtec;2;2
amug;5;5
amugy;11;11
amunkanelkuliseg;3;3
amusement;3;1
amway;2;1
amwtp;5;1
amx;2;2
amy;2;2
an;2963;320
ana;8;5
anagy;2;2
anagyhatalmak;2;2
anaheim;2;2
anak;2;2
analgesic;2;1
analog;9;6
analyse;2;2
analyses;19;15
analysis;1072;130
analyst;7;5
analysts;6;5
analytical;12;11
analyze;12;12
analyzed;36;21
analyzes;255;79
analyzing;18;18
anaphylaxis;2;1
anarchia;3;3
anarchist;2;2
anat;2;2
anatcp;5;5
anatolii;14;11
anatomical;4;1
anatomy;4;4
ancestor;2;2
ancestors;2;2
ancestry;8;8
anchor;4;4
ancient;78;29
ancillary;4;1
ancs;2;2
and;17250;384
andcroatian;2;2
anders;2;2
andersen;2;2
anderson;52;32
andersonville;3;1
andina;3;1
andorka;5;2
andpresidential;2;2
andr;3;2
andranik;2;1
andras;57;25
andrasnak;4;4
andre;3;3
andrea;4;4
andreev;2;1
andrei;9;8
andrew;36;19
andrews;62;29
andric;2;2
androgynous;2;2
andthree;2;2
anelkul;10;7
anemia;9;1
anemzet;2;2
anemzeti;18;13
anemzetkozi;4;4
anes;3;2
anet;10;5
anetsrvcs;2;2
anevet;2;2
anexo;28;4
anf;2;2
angel;4;4
angeles;112;20
angelesben;2;2
angelo;4;3
angelou;4;3
angels;3;3
anger;5;4
angered;2;2
angle;12;6
angles;10;5
anglia;6;4
