Token;Repeticiones;# de archivos
aggodalmuknak;2;2
aggodalmunk;1;1
aggodas;1;1
aggodik;2;2
aggodnak;1;1
aggodva;2;2
aggravate;1;1
aggravated;19;4
aggregates;2;2
aggression;6;4
aggressive;6;5
aggressively;1;1
aggressor;2;2
aggressziv;1;1
aggresszivabb;1;1
aggrieved;1;1
agh;3;3
aghekat;2;2
agibc;1;1
agilizar;1;1
agincourt;1;1
aging;14;8
agip;1;1
agis;2;2
agitaciot;1;1
agitans;1;1
agitate;1;1
agitated;1;1
agitation;1;1
aglab;1;1
agliano;1;1
aglobalis;1;1
agmarley;1;1
agn;3;3
agnes;15;9
agnesnek;1;1
agnespagodamrfx;1;1
ago;28;24
agocs;1;1
agocsnak;1;1
agodorbol;1;1
agoncz;1;1
agondol;1;1
agonet;3;3
agonistes;3;3
agonizalt;1;1
agora;2;2
agosto;5;3
agoston;2;1
agotamiento;1;1
agotar;2;2
agote;1;1
agr;14;7
agrarexport;1;1
agraria;1;1
agrarian;11;8
agrarkamara;1;1
agrarminiszterei;1;1
agrarollo;1;1
agrarpotencialjaval;1;1
agrarszakember;1;1
agrarszfera;1;1
agrartamogatasok;1;1
agrartudomanyi;1;1
agray;1;1
agree;27;18
agreed;40;29
agreeing;2;2
agreement;116;53
agreements;40;26
agreementsigned;1;1
agrees;14;11
agregado;4;3
agregando;1;1
agresecon;1;1
agresivo;2;2
agressz;1;1
agresszionak;1;1
agressziv;5;5
agresszivit;1;1
agri;1;1
agric;3;3
agricultural;32;21
agriculturally;1;1
agriculture;27;18
agro;1;1
agrobank;1;1
agrobankrt;1;1
agroil;7;2
agroilkozotti;1;1
agroilnak;1;1
agroinvest;1;1
agroker;1;1
agrolizingrt;1;1
agron;3;2
agronomy;2;2
agroqu;2;2
agruments;1;1
agrupan;1;1
agry;2;2
ags;2;2
agsci;3;3
agshantz;1;1
agsm;8;5
agt;15;5
agua;18;6
aguada;3;3
aguarag;6;5
aguas;1;1
aguirre;1;1
agus;1;1
agustin;1;1
agv;1;1
agy;8;5
agya;1;1
agyaban;1;1
agyabol;1;1
agyaf;1;1
agyafurt;1;1
agyak;4;3
agyakat;1;1
agyakbanmiert;1;1
agyakszamat;1;1
agyaltak;1;1
agyar;3;3
agyat;4;3
agyatultetesselliberalizalt;1;1
agyed;2;2
agyenge;1;1
agyerek;1;1
agyes;1;1
agylagyulas;1;1
agymosasok;1;1
agynak;1;1
agyonhallgatasokkal;1;1
agyonhallgatni;1;1
agyonhallhatas;1;1
agyonlotte;1;1
agyonvernek;1;1
agysz;1;1
agyszam;1;1
agyszamcsokkentes;2;2
agyszerkezetu;1;1
agyukba;2;2
ah;3;3
aha;1;1
ahab;3;1
ahaboruzasban;1;1
ahabs;1;1
ahabsburg;1;1
ahadsereget;1;1
ahadugyminiszteri;1;1
ahagyatekhoz;1;1
ahalal;1;1
ahalalbuntetes;1;1
ahalalbuntetesrol;1;1
ahallgatok;1;1
ahangoskod;1;1
ahany;1;1
aharomparti;1;1
ahasonl;1;1
ahasonlo;1;1
ahasonloan;1;1
ahatalomert;1;1
ahatalyos;1;1
ahatarainkon;1;1
ahatarozott;1;1
ahatemeletes;1;1
ahatoldalas;1;1
ahatosagi;1;1
ahazaban;1;1
ahazacskaban;1;1
ahazadbol;1;1
ahazai;2;2
ahazamat;1;1
ahazank;1;1
ahazavesztes;1;1
ahazudozas;1;1
ahazugsag;2;1
ahcpr;1;1
ahead;10;9
ahec;4;4
ahehereszes;1;1
ahelybeli;1;1
ahelybeliek;1;1
ahelyett;4;3
ahelyhatosagok;1;1
ahelytelen;1;1
ahelyzet;3;2
ahetfoi;1;1
ahezbollah;2;2
ahh;2;2
ahhotep;1;1
ahhoz;41;30
ahhozszegeny;1;1
ahibak;1;1
ahimnusz;1;1
ahirdetoktol;1;1
ahirhez;1;1
ahit;1;1
ahitattal;1;1
ahitelezok;1;1
ahitet;1;1
ahitnek;1;1
ahitott;3;3
ahitoznanaknato;1;1
ahitozo;1;1
ahivatalos;1;1
ahk;1;1
ahmad;1;1
ahnen;1;1
aho;1;1
ahogy;62;27
ahogyan;25;16
ahogyana;1;1
ahogycamus;1;1
ahogykell;1;1
ahogykutatointezetek;1;1
ahogyvan;1;1
ahol;106;37
aholsenki;1;1
ahonfoglalas;2;2
ahonfoglalo;1;1
ahonnan;6;5
ahonnet;1;1
ahontalansagnal;1;1
ahonvedelem;1;1
ahonvisszafoglalas;1;1
ahora;4;4
ahorn;2;2
ahorro;2;2
ahorros;2;2
ahosszu;1;1
