Token;NumDocumentos;PosicionInicioPosting
bp;14;37038
br;8;37077
bs;5;38352
bt;6;38407
bu;7;38451
bv;4;40046
by;314;40080
bz;1;40475
ca;25;40652
cb;3;43808
cc;12;43868
cd;12;44066
ce;8;44139
cf;10;45179
ch;12;45256
ci;10;47420
cj;4;48476
ck;2;48484
cl;7;48488
cm;11;49773
cn;6;49854
co;43;49973
cp;6;59673
cq;2;59770
cr;10;59783
cs;11;61086
ct;11;62482
cu;6;62588
cv;5;63446
cw;7;63476
cy;6;63513
cz;25;63807
da;10;64044
db;7;65213
dc;12;65251
dd;1;65331
de;135;65351
df;3;70206
dg;5;70231
dh;9;70261
di;10;70297
dj;2;73459
dk;7;73468
dl;5;73485
dm;3;73519
dn;5;73573
do;127;73638
dp;5;75475
dr;51;75506
ds;3;76134
dt;5;76225
du;10;76277
dv;2;76949
dw;1;76963
dx;1;76994
dy;4;76996
dz;1;77109
ea;6;77291
eb;5;78023
ec;9;78154
aaa;7;432
ed;19;78759
aac;2;441
abb;11;596
aae;1;495
abc;10;677
abd;1;689
aca;5;1450
aai;1;499
acb;2;1533
acc;5;1535
acd;5;2249
ace;5;2261
abm;2;891
abn;1;894
abo;5;898
acf;4;2302
aar;4;515
aas;2;530
abq;6;1198
aau;5;536
abs;5;1252
abu;1;1358
ach;1;2307
acl;1;2424
acm;5;2432
acn;4;2439
acq;5;2479
acs;6;2584
act;72;2622
acu;41;3170
acw;4;3266
ada;4;3321
adb;1;3460
adc;2;3461
add;22;3470
ade;5;3825
adh;1;3923
adi;3;3951
adj;2;3979
adl;2;4066
adm;6;4071
ado;20;4333
adp;5;4657
adr;2;4684
ads;8;4698
adv;1;4801
ady;2;5165
aea;1;5175
aec;2;5177
aed;2;5191
aei;4;5197
ael;1;5202
aes;3;5244
afa;2;5285
afb;2;5290
afc;1;5292
afl;2;5600
afm;1;5602
afn;97;5603
afo;1;5700
afp;18;5709
agc;1;6160
age;61;6168
agg;2;6432
agh;3;6480
agn;3;6508
ago;24;6522
agr;7;6568
ags;2;6813
agt;5;6824
agv;1;6847
agy;5;6848
aha;1;6895
ahh;2;6957
ahk;1;7006
aho;1;7009
ahs;5;7133
aic;1;7155
aid;47;7161
aig;4;7257
aii;2;7261
ail;2;7271
aim;20;7279
ain;1;7343
aip;5;7352
air;47;7357
ais;5;7510
ait;3;7520
aix;6;7528
aki;43;8015
ako;1;8314
ala;34;8512
alb;5;9351
alc;1;9445
ald;2;9508
ali;6;9833
all;274;10300
aln;1;11758
abba;4;607
alp;1;11862
alr;3;11902
acad;2;1456
abbe;1;651
acea;3;2266
adea;2;3830
adag;1;3326
adec;1;3833
aakb;1;505
acci;5;1782
acdi;2;2254
aamc;4;507
aban;1;571
able;55;833
abdn;4;692
aaas;2;439
absa;1;1257
acel;1;2277
aads;2;493
abcs;2;687
aber;6;729
abre;1;1211
accs;2;2135
abby;1;676
abol;1;916
acay;2;1531
acct;2;2144
acer;2;2295
acex;2;2300
aarp;5;524
acid;4;2397
abmv;1;893
abou;2;966
acim;2;2403
acld;1;2425
aclu;4;2428
acma;1;2437
acns;5;2446
acog;2;2451
aauw;1;541
acom;6;2453
acon;1;2465
acpy;1;2478
acre;1;2543
acrh;1;2549
acrs;5;2579
acsd;3;2594
acsp;1;2612
acsu;6;2613
actc;3;2694
acti;1;2710
acts;23;3068
adam;17;3333
adas;1;3395
adat;2;3402
adaz;1;3458
adcg;1;3463
addr;6;3706
adds;8;3816
adem;23;3848
ader;1;3912
adfa;4;3917
adfg;1;3921
adin;1;3972
adja;14;3981
admd;1;4078
admu;4;4288
adna;3;4292
adnc;5;4305
adni;18;4314
adok;4;4395
adom;1;4434
adon;2;4443
ados;3;4500
adot;8;4590
adpc;3;4662
adra;3;4686
adta;15;4714
adva;3;4802
advn;2;5123
aecd;4;5179
aecl;5;5183
aero;5;5220
aetc;4;5267
aetn;2;5272
aexp;1;5276
afce;2;5293
afeh;1;5301
afit;4;5593
afro;3;5793
afsc;3;5798
afsg;1;5801
afts;1;5962
agar;1;6138
agat;1;6140
agcs;3;6165
ababa;1;556
agec;2;6229
aged;6;6233
agee;2;6239
agen;3;6241
ager;2;6409
ages;19;6411
agip;1;6496
agis;2;6497
agri;1;6749
agro;1;6793
added;34;3507
abbie;1;654
abban;36;613
abide;3;753
agibc;1;6485
aglab;1;6504
agry;2;6811
abang;1;582
aasad;1;532
aaped;3;512
abacs;1;563
aball;1;568
abank;1;583
abate;1;593
abbol;13;657
aalen;1;506
acasa;1;1523
abbey;1;653
accom;1;1843
acdin;3;2256
acdnj;2;2259
achem;1;2310
abdul;3;712
abwam;1;1435
abril;4;1218
aches;1;2311
acast;4;1524
above;40;1157
acids;2;2401
abest;3;744
abrir;1;1222
aaron;3;521
abrit;1;1223
abuse;31;1377
achoy;1;2396
aclib;2;2426
acnet;3;2443
acomp;3;2460
abort;1;940
abzsh;1;1436
abzug;4;1437
about;182;975
acord;2;2468
acpub;3;2475
acqic;2;2484
acqui;1;2487
acres;2;2547
acted;4;2702
acton;2;3048
actor;4;3050
actrn;2;3066
acura;1;3247
acusd;1;3248
acute;14;3252
aczel;3;3273
adams;17;3352
adapt;3;3371
adasa;2;3396
abuzz;1;1434
adata;1;3404
adcom;3;3465
adcon;1;3469
addig;27;3553
addis;2;3604
adept;4;3880
adgbn;1;3922
adhat;1;3924
adjak;10;4000
adjon;6;4015
adjuk;3;4028
adler;3;4068
admin;9;4079
admit;4;4263
adnak;10;4295
adnia;1;4332
adobe;5;4354
adoja;1;4390
adolf;5;4424
adony;1;4447
adopt;8;4456
adott;33;4605
adtak;17;4730
adtam;1;4748
adult;17;4757
adunk;3;4798
aecom;3;5188
aeegy;1;5194
aegis;1;5196
aeron;1;5228
aesop;4;5250
afent;3;5317
affrc;2;5561
afgan;1;5567
afirm;1;5589
abacha;1;557
afive;1;5597
afkgp;1;5599
acadia;5;1504
afoul;1;5706
after;130;5807
agadm;3;5982
adclab;1;3464
achebe;1;2309
again;30;5985
agalt;1;6132
agara;1;6139
agate;5;6141
agcom;1;6162
agent;27;6359
abbate;1;650
aachen;4;443
abated;1;594
adalek;1;3331
abacom;5;558
abginc;1;751
aacisd;1;447
acerbi;2;2297
acgeas;1;2306
abrand;1;1208
aascpa;3;533
aboard;12;903
abroad;23;1224
accord;8;1906
abalon;1;570
accent;6;1555
abacus;1;564
acccss;3;1540
accept;28;1566
abrock;1;1247
aacute;43;448
abused;4;1408
acceso;1;1655
abbitt;2;655
abdnor;12;696
access;55;1656
absorb;2;1307
accion;2;1820
accrue;3;2128
abbott;5;671
absent;3;1282
accuse;4;2204
aceite;4;2270
aceler;1;2278
absurd;2;1335
abonyi;1;937
abuser;3;1412
aarhus;1;520
abuses;9;1418
acenet;3;2289
achkoi;1;2395
acompa;2;2463
acorns;1;2472
acslab;4;2603
abszol;1;1343
across;24;2555
acsnet;3;2608
abrupt;2;1248
actcom;5;2697
actein;4;2706
acting;16;2711
action;55;2727
active;22;2838
activo;6;3034
actlab;1;3047
actors;4;3054
actrix;4;3062
actual;39;3092
acuity;1;3223
acuson;3;3249
acxiom;3;3270
aczeli;1;3277
adando;1;3369
adapta;1;3374
adapts;1;3394
adasat;1;3399
adatai;6;3405
adatat;1;3416
adatik;1;3420
adatok;13;3421
adatot;2;3450
adazan;1;3459
adcomp;1;3468
addams;1;3506
addict;1;3542
adding;21;3583
ademco;1;3871
adhato;1;3928
adhere;3;3934
adicon;2;3969
adinet;4;3973
adjaaz;1;3995
adjunk;3;4032
adjust;10;4039
admark;1;4077
admire;1;4247
admits;1;4267
acadaff;1;1459
adoado;1;4353
adodik;1;4366
adojat;1;4394
adokat;3;4399
adolph;4;4430
adopts;1;4495
addabbo;14;3492
adosok;1;4507
adosuk;1;4589
adoval;1;4647
acadian;1;1509
adozas;2;4648
adozok;2;4653
acadadv;1;1458
adress;1;4689
adriai;1;4691
adrian;4;4692
acadiau;5;1511
abigail;1;758
acclaim;2;1839
adasban;1;3400
abraham;4;1204
abbeval;1;652
adannak;1;3370
adataik;1;3411
abilene;4;759
abeking;1;719
absence;21;1260
abandon;4;572
ablecom;3;888
ablakok;1;831
abdomen;1;708
abelink;4;721
ablakon;1;832
academy;11;1493
acatlan;2;1529
accepte;1;1626
abalczo;1;566
accrete;1;2126
accrual;1;2127
aaicorp;5;500
absalom;2;1258
aborted;2;941
abolish;3;917
abreast;3;1212
accents;1;1561
accepts;5;1650
accords;4;2002
accrued;1;2131
accsoft;2;2137
aacutev;1;492
abusing;2;1427
accused;29;2208
accuser;1;2237
aboimov;1;915
ability;52;775
abusive;5;1429
account;59;2006
accuses;2;2239
accutek;4;2245
aceinfo;1;2269
aceites;3;2274
abusers;3;1415
aceljuk;1;2285
achieve;31;2314
achkhoi;1;2394
acmepet;1;2438
accsyst;5;2139
abszurd;3;1353
acquion;3;2488
acquire;5;2491
acrisis;1;2550
acrobat;1;2551
acronet;2;2552
abrutto;2;1250
acronym;1;2554
acsehek;1;2597
acslabs;1;2607
acsurar;1;2620
actions;46;2782
activex;1;2865
activos;7;3040
actress;4;3058
acuerde;1;3211
acuerdo;7;3212
adamnet;1;3351
adaptec;2;3387
adapted;3;3389
adatara;1;3415
adattar;1;3452
addicts;1;3552
addigra;2;3581
additio;1;3606
address;51;3712
adeadly;1;3832
adelphi;2;3846
adentra;1;3879
adhatna;1;3925
adhatok;1;3929
adhatom;1;3930
adhered;1;3937
adheres;1;3943
adiakok;1;3954
adiktat;1;3971
adjanak;3;4010
adjatok;2;4013
adjudic;1;4021
adjunct;1;4031
adjunta;2;4037
adjusts;1;4065
academia;4;1460
admiral;1;4244
academic;26;1464
adecuada;1;3834
adelaide;6;3838
adodnak;2;4367
adaclabs;1;3325
adodoan;2;4369
adopres;3;4452
adopted;14;4464
adoptee;1;4478
adossag;12;4508
adottak;1;4638
acatadas;1;1528
acsaladi;1;2590
acadians;1;1510
acampbel;1;1522
aberdeen;5;736
abanknak;1;584
abastece;2;588
accepted;16;1627
accorded;5;1925
acambuco;6;1516
abducted;1;710
accessed;6;1720
accident;15;1787
acelerar;1;2282
achieved;12;2345
acelipar;1;2283
absorbed;2;1309
aceptado;1;2292
abriendo;1;1217
absences;1;1281
acciones;8;1827
absentee;1;1285
absentia;2;1288
accucomm;3;2146
accesses;1;1726
accuracy;13;2166
aardvark;1;519
abaforum;1;565
abetting;2;749
abnormal;2;895
abrasive;1;1209
abiboros;1;752
absorber;1;1311
aacutelt;1;491
abstract;14;1315
abundant;4;1370
accessnv;5;1748
accurate;13;2179
accusing;3;2241
abiertos;2;756
accessus;5;1776
accusers;1;2238
acetrans;1;2299
achilles;8;2386
abortion;13;943
absolute;11;1290
accounts;19;2102
ackerman;6;2406
acordado;2;2470
abourezk;7;968
acoustic;1;2473
acquired;21;2496
acsworld;1;2621
activate;1;2830
actively;5;2860
activism;2;2884
activist;1;2886
actuador;1;3091
actually;28;3138
activity;63;2971
actuator;1;3169
acuerdos;4;3219
adalbert;1;3329
adalekul;1;3332
adaptive;2;3392
adataink;2;3412
abszolut;7;1344
adatokat;10;3434
addendum;1;3541
addicted;2;3543
addition;48;3607
additive;1;3701
abortusz;1;961
addyston;1;3824
adequacy;4;3886
adequate;15;3890
adeudado;1;3913
adevarul;1;3914
adhatnak;1;3926
adhatunk;1;3933
adhering;2;3944
adhesiva;1;3948
adhesive;1;3949
aditivos;1;3978
adjacent;4;3996
adjusted;3;4049
admitted;17;4268
adnetsol;4;4310
adojabol;2;4391
adojanak;1;4393
adokulcs;2;4406
adomanya;1;4435
adoprest;1;4455
adoptees;1;4479
adopting;3;4480
adoption;12;4483
acelerada;2;2279
acclaimed;2;1841
adossaga;5;4520
adoterhe;1;4600
adozasi;1;4650
adozasra;1;4651
adozott;1;4655
acacianet;1;1455
academics;2;1491
adecuadas;1;3835
abandoned;1;576
adquiri;4;4665
adquirir;1;4675
adherence;1;3938
accidente;1;1811
abundance;5;1365
admirable;1;4242
acsaladok;1;2591
adattarba;1;3453
adatokban;1;3444
adasaival;1;3398
abalkanon;1;567
abazilika;1;595
abdominal;1;709
abastecer;1;590
according;69;1930
actividad;7;2866
acumulada;2;3225
accepting;6;1643
accidents;7;1813
accessing;4;1737
accesscom;6;1711
accugraph;1;2149
achieving;9;2377
accessone;5;1753
aceptados;2;2293
abilities;12;763
abukassal;1;1363
acception;1;1649
abduction;1;711
accounted;4;2076
accompany;5;1871
accomplit;1;1905
acelmuvek;1;2287
activated;4;2831
acumulado;4;3227
aboszniai;2;964
abolition;5;926
abernethy;2;741
abiztatas;1;828
abrazolni;1;1210
abrenthez;1;1216
absorbers;1;1312
abstracts;3;1332
acquiring;5;2517
acquitted;1;2542
absurdism;1;1337
abiztosan;1;829
abuntetes;1;1375
actualize;1;3137
acoustics;1;2474
adamantly;1;3350
accruvest;1;2134
abortions;5;956
absolutes;2;1305
absurdist;1;1338
actuality;2;3132
adasvetel;1;3401
adatokkal;3;3445
absurdity;3;1340
adatoknak;1;3448
abszolute;1;1351
activists;11;2887
adatoktol;1;3449
addiction;3;3545
addictive;2;3550
additions;2;3699
additives;4;3702
addressed;15;3763
addresses;24;3778
adherente;1;3939
adherents;2;3941
adherirse;1;3946
adhesions;1;3947
adicional;3;3955
aditional;1;3977
adjunktus;1;4035
adjusting;2;4052
admirably;1;4243
admiralty;1;4245
admission;9;4248
admitting;2;4286
abortuszt;1;963
adocsalas;3;4361
adoeloleg;1;4375
adofizeto;1;4380
adolescen;1;4410
adolgozok;1;4429
adomentes;1;4440
adoreform;1;4496
adossagat;6;4540
adossagok;1;4568
adossagot;5;4569
adoterhek;2;4601
adottneki;1;4640
adougyben;1;4644
adozzanak;1;4656
adquirida;1;4669
adquirido;2;4672
adquisici;7;4676
adressa;1;4690
adrien;1;4696
adrienne;1;4697
accordance;11;1914
abbahagyta;2;611
acceptable;16;1596
achievable;2;2312
acceptance;14;1612
accidental;6;1802
accredited;2;2124
accionaria;2;1822
adhatnanak;1;3927
adotablaja;1;4598
adelantado;1;3844
abdication;2;690
accessible;7;1730
accomplice;1;1880
abandoning;3;577
aaemassago;1;497
abankoknak;1;585
abecslesek;1;715
abetegeket;1;748
accidentes;1;1812
accuracies;3;2163
aboriginal;1;939
accionario;2;1825
aandalsnes;1;511
acelerando;1;2281
abstinence;1;1314
abrechnung;1;1215
accesscomm;3;1717
accionista;1;1835
aartselaar;1;529
abolishing;4;920
abudapesti;4;1359
abumnerang;1;1364
accomplish;6;1881
accumulate;1;2152
acrecentar;1;2544
accruement;2;2132
accustomed;1;2244
acreedores;2;2545
accentsoft;2;1562
abennunket;1;726
accounting;21;2080
accurately;6;2192
accusation;1;2198
acskapcsot;1;2602
accountant;5;2069
abnormally;1;897
acsorognak;1;2611
actiontech;1;2828
activation;3;2835
activities;72;2898
acumulados;3;3231
adaptacios;1;3375
adaptation;6;3378
activision;3;2881
adattarban;1;3454
acquittals;1;2541
addictions;2;3548
additional;38;3655
addressing;14;3802
adecuarlas;1;3836
acquistion;1;2540
absorption;1;1313
ademokrata;1;3873
abunuldozo;1;1376
absolutely;4;1301
adequacies;1;3885
acommunity;1;2459
adequately;7;3905
adherentes;1;3940
adjustment;10;4054
administer;3;4088
admiration;1;4246
acupunture;1;3246
abortuszra;1;962
admissions;6;4257
adofizetes;1;4378
adofizetok;5;4381
adokoteles;2;4404
adolescent;6;4413
adolesence;1;4423
adontessel;1;4446
adossagall;1;4526
adossagara;1;4539
adossagbol;2;4547
adossaggal;3;4559
adossagunk;2;4586
adotorveny;1;4604
adotthirek;1;4639
adottsagok;1;4641
adquiridas;2;4670
adquiridos;1;4674
adscapes;2;4706
adsnet;5;4709
adtabe;1;4729
adtran;3;4749
adtunk;4;4752
adubrovnik;1;4756
adultcheck;1;4774
adultery;3;4775
adulthood;3;4778
adults;17;4781
advacom;1;4805
advalue;2;4806
advance;19;4808
advanced;32;4827
accelerated;3;1544
advances;13;4868
advancing;6;4881
advantage;32;4887
adefinialas;1;3837
ademokracia;1;3872
adjudicated;1;4024
accompanied;12;1859
advantaged;1;4919
adolescence;2;4411
advantages;33;4924
advantis;4;4957
advcat;1;4961
advection;1;4962
abercrombie;1;735
adicionales;5;3958
accionarias;1;1824
accommodate;4;1844
adelegation;1;3845
adatvedelmi;2;3455
accentuated;1;1564
actividades;8;2873
adossaganak;3;4536
acknowledge;3;2412
adevarulban;1;3915
adjudicaron;1;4022
abandonment;2;580
accumulated;6;2153
accesswatch;1;1781
abeszeloben;1;747
achievement;14;2357
actualizaci;1;3134
abankuralom;1;587
adalbertrol;1;3330
accordingly;3;1999
absenteeism;2;1286
accionistas;3;1836
activamente;1;2829
actualmente;3;3166
accessories;7;1758
adakozzanak;1;3328
abolishment;2;924
adaptaility;1;3376
actualities;1;3131
adaptations;3;3384
abstraction;1;1329
adobevetelt;1;4360
adocsalasok;1;4364
accusations;5;2199
accountings;1;2101
absurdities;1;1339
accumulator;1;2162
abizottsagi;1;827
abovitessel;1;1197
accountants;2;2074
acqiisition;1;2486
abunozesnek;1;1374
administers;1;4099
acquisitive;1;2539
adminstrati;1;4240
acquisition;13;2522
abeolvaszto;1;728
adoellenori;1;4372
acsingozunk;1;2601
adoellenort;1;4374
adoeloleget;1;4376
acupuncture;9;3235
adogkeselyu;1;4386
adolescents;4;4419
acupressure;1;3234
adjustments;1;4064
adomanyokat;1;4437
adorendszer;2;4497
adoterheket;1;4603
adougyeinek;1;4645
adougyekkel;1;4646
adozatlanul;1;4652
adscendency;1;4708
advancement;7;4859
advent;19;4963
advents;1;4982
adventure;4;4983
adventures;8;4987
adventurous;2;4995
adversarial;2;4997
adversary;1;4999
adverse;6;5000
adversely;2;5006
adverso;1;5008
adversos;1;5009
advertise;1;5010
advertiser;1;5024
advertisers;2;5025
advertising;19;5027
advertisor;1;5046
advice;17;5047
advisable;3;5067
advise;6;5070
advised;4;5076
adviser;9;5080
advisers;4;5089
abboladodnak;1;670
advises;3;5093
advising;5;5096
advisor;9;5101
advisories;1;5110
advisors;4;5111
advisory;7;5115
academically;1;1490
advmar;1;5122
advocacy;16;5125
advocate;4;5141
advocated;2;5145
aaeliberalis;1;496
accelarating;1;1543
adoelengedes;1;4371
accommodated;1;1848
abasteciendo;1;591
accelerating;1;1547
adatbazisban;1;3417
adotanacsado;1;4599
advocates;12;5147
advocating;1;5159
acknowledged;4;2415
adeptscience;1;3884
acceleration;5;1548
adocsalassal;1;4365
accomplished;7;1887
accidentally;3;1808
advsyscon;1;5160
adjudication;3;4025
advtech;2;5161
advtel;2;5163
adhatomagyar;1;3931
adomanyaikat;1;4436
adyacentes;1;5167
adyliget;1;5168
accentuating;1;1565
acknowledges;1;2419
administraci;6;4100
accompanying;4;1876
acelkohaszat;1;2286
accomplishes;1;1894
achievements;6;2371
accumulating;2;2159
additionally;5;3693
administered;8;4091
admittedthat;1;4285
adoellenorre;1;4373
adhesiveness;1;3950
adofegyelmet;1;4377
adohatosagot;1;4388
accumulation;1;2161
acinkossagot;1;2405
adofizeteset;1;4379
adoigazolast;1;4389
adomentesseg;1;4441
abolitionism;2;931
adossagunkat;1;4588
adottsagokat;1;4642
abstractions;2;1330
acsehszlovak;1;2598
advancements;2;4866
advantageous;4;4920
abolitionist;2;933
adomanyoztak;1;4439
adjunktusnak;1;4036
advisability;3;5064
aeibpa;1;5201
aelott;1;5203
aeneas;3;5206
aeneid;5;5209
aczelgyorgyi;1;3276
abszurdumbol;1;1357
adatgyujtest;1;3419
acquisitions;4;2535
aeordas;1;5214
aerial;4;5216
aerodynamic;1;5227
aeronautical;1;5229
aeronautics;6;5230
aeroplane;1;5236
aeropuertos;1;5237
aerospace;6;5238
aeschylus;3;5247
aestaley;1;5254
aesthetic;7;5255
aesthetics;3;5262
aethetc;1;5271
afalvakat;1;5287
afarkas;1;5288
afasisztoid;1;5289
afebruarban;1;5295
afectadas;1;5296
afectan;1;5297
afectar;1;5298
afectaron;1;5299
afegyelem;1;5300
afeher;1;5302
afejlesztes;1;5303
afejteget;1;5304
afejuket;1;5305
afelelem;1;5309
afelelosseg;1;5310
afeltetele;1;5315
afelvideken;1;5316
aferfiak;1;5320
afeszty;1;5322
adaptalasaban;1;3377
affact;1;5323
affair;5;5324
affairs;38;5329
affect;42;5368
affected;32;5410
affecting;24;5442
affection;1;5466
affects;28;5468
adjudicataria;1;4023
aberranciajat;1;743
affele;3;5496
affidavit;3;5499
ademokrataban;1;3874
afelhaborodas;1;5312
affiliate;1;5502
affiliated;2;5503
adossagcsapda;2;4549
aevilagallamo;1;5274
affiliateof;1;5505
affiliates;2;5506
affiliation;4;5508
acselekedetet;1;2599
affinity;1;5512
adohatosagnak;1;4387
accommodating;1;1849
affirm;3;5513
affirmance;1;5516
affirmative;9;5517
accreditation;3;2121
abenzinarakat;1;727
afeleseguknek;1;5311
accelerations;2;1553
acceptability;2;1594
accommodation;5;1850
acknowledging;2;2420
affirmed;4;5527
addigfokoztak;1;3580
adopapirokkal;1;4448
affirming;1;5531
adossagterhek;1;4582
affixed;2;5532
afflicted;2;5534
accessibility;3;1727
acumulaciones;1;3224
abankrendszer;1;586
acsatlakozasi;1;2593
aeszocialista;1;5266
affliction;2;5536
afflicts;1;5538
acoplamientos;1;2467
affluence;3;5539
adquisiciones;1;4683
affluent;1;5542
affirmatively;1;5526
ademokratikus;4;3875
adossagnovelo;1;4567
abelcomputers;1;720
afford;6;5543
actualization;2;3135
aboricultural;1;938
affordable;7;5549
advertisement;3;5011
afforded;4;5556
affords;1;5560
acculturation;2;2150
affymax;2;5563
affymetrix;2;5565
abszurditasat;1;1356
administrator;13;4214
adomanyozokat;1;4438
abolitionists;1;935
adokumentumok;1;4409
afganokat;1;5569
afghan;1;5570
afghanistan;5;5571
afianzar;1;5576
afiatal;1;5577
afiatalkoruak;1;5578
aficionado;1;5579
afidesz;2;5580
afigyelmet;2;5583
afiliada;1;5585
afines;1;5586
afinity;1;5587
afinnekhez;1;5588
afirmar;1;5590
afirmativo;1;5591
adottszavukat;1;4643
afirst;1;5592
abiztositotol;1;830
abolsevizmust;1;936
afixed;1;5598
acupuncturist;1;3244
afogaszat;1;5701
afogyasztas;1;5702
afolyamatos;1;5703
afoszereplo;1;5705
afovarosi;2;5707
afpreported;1;5727
afraid;5;5728
afrakcionak;1;5733
afranciak;1;5735
africa;31;5736
african;21;5767
afrika;1;5788
afrikaban;1;5789
afrikai;2;5790
afrikaies;1;5792
afrontar;1;5796
afrontrol;1;5797
abszolutizmus;1;1352
afeltamadasnak;1;5314
aftenposten;5;5802
aftercare;1;5937
afterlife;1;5938
aftermath;11;5939
afternet;2;5950
afternoon;6;5952
afterward;1;5958
afterwards;1;5959
aftonbladet;2;5960
afuera;2;5964
afuggetlen;1;5966
afulet;1;5967
afuture;1;5968
agabansincs;1;5981
against;114;6015
adicionalmente;6;3963
agalszecsy;1;6131
adossagbehajto;1;4546
agamemnon;2;6133
agames;1;6135
agapova;2;6136
agatha;1;6146
agathon;1;6147
agattak;1;6148
agazat;3;6149
adobeszedoinek;1;4359
abastecimiento;1;592
afganisztanban;1;5568
agazatban;1;6152
abefizeteseket;1;716
adossagleirasi;1;4563
agazatok;1;6153
abefolyasolasi;1;717
affectionately;1;5467
aforementioned;1;5704
accommodations;4;1855
agazatokban;1;6154
acknowledgment;1;2422
adopolitikaval;1;4451
adossagalomany;1;4535
agazdasag;1;6155
accomplishment;4;1895
aconcentration;1;2466
adossagterheit;1;4581
aaemegvalosult;1;498
